UID,Assets at risk,Containers/Points of attack,Threat communities,Threat Types,Effects,Scenario,blank-H,Plan A Loss Event Frequency (LEF) Lower Bound,Plan A Loss Event Frequency (LEF) Most Likely,Plan A Loss Event Frequency (LEF) Upper Bound,Plan A Loss Magnitude (LM) Lower Bound,Plan A Loss Magnitude (LM) Most Likely,Plan A Loss Magnitude (LM) Upper Bound,Plan B Control(s),Plan B Initial Control Cost Lower Bound,Plan B Initial Control Cost Most Likely,Plan B Initial Control Cost Upper Bound,Plan B Recurring Control Cost Lower Bound,Plan B Recurring Control Cost Most Likely,Plan B Recurring Control Cost Upper Bound,Plan B Loss Event Frequency (LEF) Lower Bound,Plan B Loss Event Frequency (LEF) Most Likely,Plan B Loss Event Frequency (LEF) Upper Bound,Plan B Loss Magnitude (LM) Lower Bound,Plan B Loss Magnitude (LM) Most Likely,Plan B Loss Magnitude (LM) Upper Bound,Plan C Control(s),Plan C Initial Control Cost Lower Bound,Plan C Initial Control Cost Most Likely,Plan C Initial Control Cost Upper Bound,Plan C Recurring Control Cost Lower Bound,Plan C Recurring Control Cost Most Likely,Plan C Recurring Control Cost Upper Bound,Plan C Loss Event Frequency (LEF) Lower Bound,Plan C Loss Event Frequency (LEF) Most Likely,Plan C Loss Event Frequency (LEF) Upper Bound,Plan C Loss Magnitude (LM) Lower Bound,Plan C Loss Magnitude (LM) Most Likely,Plan C Loss Magnitude (LM) Upper Bound,PLAN-A,PLAN-B,PLAN-C
Risk-30,Non Public Information (NPI),SFQ0 Risk Reporting Server Server on Palm Domain,malicious software,deliberately,availability,malicious software deliberately impact the availability of Non Public Information (NPI) through SFQ0 Risk Reporting Server Server on Palm Domain.,NA,0.013333333333333334,0.14285714285714285,0.5,5000,200000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.125,0.2,5000,200000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,65000,100000,0,0,0,0.013333333333333334,0.1,0.2,5000,200000,10000000,423842.26475727535,269321.9666895436,223240.3078472226
Risk-31,Non Public Information (NPI),SFQ0 Risk Reporting Server DEV Server on Palm Domain,malicious software,deliberately,availability,malicious software deliberately impact the availability of Non Public Information (NPI) through SFQ0 Risk Reporting Server DEV Server on Palm Domain.,NA,0.013333333333333334,0.14285714285714285,0.5,5000,200000,10000000,"Malware scans nightly, Crit. sec. patches monthly, App MFA,",200,500,3000,0,0,0,0.013333333333333334,0.1,0.2,5000,200000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, App MFA,",3000,65000,100000,0,0,0,0.013333333333333334,0.08333333333333333,0.2,5000,200000,10000000,422112.90131357434,235728.8284854971,213767.3974096275
Risk-32,Non Public Information (NPI),Database instance on SFQ0 Risk Reporting Server DEV,malicious software,deliberately,availability,malicious software deliberately impact the availability of Non Public Information (NPI) through Database instance on SFQ0 Risk Reporting Server DEV.,NA,0.013333333333333334,0.14285714285714285,0.5,5000,200000,10000000,"Malware scans nightly, Crit. sec. patches monthly, App MFA,",200,500,3000,0,0,0,0.013333333333333334,0.1,0.2,5000,200000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, CIS Hardened Windows Server Image, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, App MFA,",3000,65000,100000,0,0,0,0.013333333333333334,0.06666666666666667,0.2,5000,200000,10000000,423222.2357574478,231887.4692361845,191161.61705199687
Risk-33,Non Public Information (NPI),RBC Bank US sysadmin jump stations on Palm Domain,malicious software,deliberately,availability,malicious software deliberately impact the availability of Non Public Information (NPI) through RBC Bank US sysadmin jump stations on Palm Domain.,NA,0.013333333333333334,0.14285714285714285,0.5,5000,200000,10000000,"Malware scans nightly, Crit. sec. patches monthly, App MFA,",200,500,3000,0,0,0,0.013333333333333334,0.1,0.2,5000,200000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, CIS Hardened Windows Server Image, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, App MFA,",3000,65000,100000,0,0,0,0.013333333333333334,0.06666666666666667,0.2,5000,200000,10000000,412441.31549476105,224130.99577889303,181469.47210639916
Risk-34,Non Public Information (NPI),Monitored servers on Maple Domain,malicious software,deliberately,availability,malicious software deliberately impact the availability of Non Public Information (NPI) through Monitored servers on Maple Domain.,NA,0.013333333333333334,0.14285714285714285,0.5,5000,200000,10000000,"Malware scans nightly, Crit. sec. patches monthly, App MFA,",200,500,3000,0,0,0,0.013333333333333334,0.1,0.2,5000,200000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, CIS Hardened Windows Server Image, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, App MFA,",3000,65000,100000,0,0,0,0.013333333333333334,0.06666666666666667,0.2,5000,200000,10000000,425588.56916999776,231275.4563082985,181629.7957634023
Risk-35,Non Public Information (NPI),Monitored servers on Birch Domain,malicious software,deliberately,availability,malicious software deliberately impact the availability of Non Public Information (NPI) through Monitored servers on Birch Domain.,NA,0.013333333333333334,0.14285714285714285,0.5,5000,200000,10000000,"Malware scans nightly, Crit. sec. patches monthly, App MFA,",200,500,3000,0,0,0,0.013333333333333334,0.1,0.2,5000,200000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, CIS Hardened Windows Server Image, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, App MFA,",3000,65000,100000,0,0,0,0.013333333333333334,0.06666666666666667,0.2,5000,200000,10000000,425685.3255548695,234952.21530087024,189254.3110119097
Risk-36,Non Public Information (NPI),Other devices on Palm Domain,external attackers,deliberately,availability,external attackers deliberately impact the availability of Non Public Information (NPI) through Other devices on Palm Domain.,NA,0.013333333333333334,0.14285714285714285,0.5,5000,200000,10000000,"Malware scans nightly, Crit. sec. patches monthly, App MFA,",200,500,3000,0,0,0,0.013333333333333334,0.1,0.2,5000,200000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, CIS Hardened Windows Server Image, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, App MFA,",3000,65000,100000,0,0,0,0.013333333333333334,0.06666666666666667,0.2,5000,200000,10000000,427989.6791226942,220853.64636031847,191657.30948430445
Risk-37,Non Public Information (NPI),SFQ0 Risk Reporting Server Server on Palm Domain,external attackers,deliberately,availability,external attackers deliberately impact the availability of Non Public Information (NPI) through SFQ0 Risk Reporting Server Server on Palm Domain.,NA,0.013333333333333334,0.14285714285714285,0.5,5000,200000,10000000,"Malware scans nightly, Crit. sec. patches monthly, App MFA,",200,500,3000,0,0,0,0.013333333333333334,0.1,0.2,5000,200000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, App MFA,",3000,65000,100000,0,0,0,0.013333333333333334,0.08333333333333333,0.2,5000,200000,10000000,414285.1504111545,226338.71234873091,209569.43380322368
Risk-38,Non Public Information (NPI),SFQ0 Risk Reporting Server DEV Server on Palm Domain,external attackers,deliberately,availability,external attackers deliberately impact the availability of Non Public Information (NPI) through SFQ0 Risk Reporting Server DEV Server on Palm Domain.,NA,0.013333333333333334,0.14285714285714285,0.5,5000,200000,10000000,"Malware scans nightly, Crit. sec. patches monthly, App MFA,",200,500,3000,0,0,0,0.013333333333333334,0.1,0.2,5000,200000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, CIS Hardened Windows Server Image, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, App MFA,",3000,65000,100000,0,0,0,0.013333333333333334,0.06666666666666667,0.2,5000,200000,10000000,429526.2167625488,245751.2566140514,181044.27694352396
Risk-39,Non Public Information (NPI),Database instance on SFQ0 Risk Reporting Server DEV,external attackers,deliberately,availability,external attackers deliberately impact the availability of Non Public Information (NPI) through Database instance on SFQ0 Risk Reporting Server DEV.,NA,0.013333333333333334,0.14285714285714285,0.5,5000,200000,10000000,"Malware scans nightly, Crit. sec. patches monthly, App MFA,",200,500,3000,0,0,0,0.013333333333333334,0.1,0.2,5000,200000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, App MFA,",3000,65000,100000,0,0,0,0.013333333333333334,0.08333333333333333,0.2,5000,200000,10000000,424337.65107923903,241487.28918797878,197128.96821765043
Risk-40,Non Public Information (NPI),RBC Bank US sysadmin jump stations on Palm Domain,external attackers,deliberately,availability,external attackers deliberately impact the availability of Non Public Information (NPI) through RBC Bank US sysadmin jump stations on Palm Domain.,NA,0.013333333333333334,0.14285714285714285,0.5,5000,200000,10000000,"Malware scans nightly, Crit. sec. patches monthly, App MFA,",200,500,3000,0,0,0,0.013333333333333334,0.1,0.2,5000,200000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, App MFA,",3000,65000,100000,0,0,0,0.013333333333333334,0.08333333333333333,0.2,5000,200000,10000000,416260.65690168313,219691.56216619484,207239.551933029
Risk-41,Non Public Information (NPI),Monitored servers on Maple Domain,external attackers,deliberately,availability,external attackers deliberately impact the availability of Non Public Information (NPI) through Monitored servers on Maple Domain.,NA,0.013333333333333334,0.14285714285714285,0.5,5000,200000,10000000,"Malware scans nightly, Crit. sec. patches monthly, App MFA,",200,500,3000,0,0,0,0.013333333333333334,0.1,0.2,5000,200000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, App MFA,",3000,65000,100000,0,0,0,0.013333333333333334,0.08333333333333333,0.2,5000,200000,10000000,428563.37891940225,232844.90477544445,200356.7349938968
Risk-42,Non Public Information (NPI),Monitored servers on Birch Domain,external attackers,deliberately,availability,external attackers deliberately impact the availability of Non Public Information (NPI) through Monitored servers on Birch Domain.,NA,0.013333333333333334,0.14285714285714285,0.5,5000,200000,10000000,"Malware scans nightly, Crit. sec. patches monthly, App MFA,",200,500,3000,0,0,0,0.013333333333333334,0.1,0.2,5000,200000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, CIS Hardened Windows Server Image, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, App MFA,",3000,65000,100000,0,0,0,0.013333333333333334,0.06666666666666667,0.2,5000,200000,10000000,423187.81552979903,235940.44402750838,191699.59431419495
